task_id,title,label,status,priority,estimated_hours,created_at
811d69964f0d41198546d7444eb020f5,User to integrate changes mobile project module fix role-based tests mobile endpoints frontend Implement for project devices,bug,in-progress,low,99,13/05/2024
b84368e77fcd4ad9a254ecf4a964d925,Support update documentation user API devices endpoints reporting theme SQL endpoints changes queries theme implement to for role-based fix database refactor migration access mobile,bug,done,medium,54,06/07/2025
59ee24f120d24128af92c7193134fc20,Migration for system for devices frontend reflect gateway issues switching role-based update layout,documentation,todo,high,12,26/01/2025
1ead3ca88d0d4b318bce5c328ebd65d8,Tests endpoints optimize frontend changes Implement system gateway unit switching endpoints role-based update unit issues access,bug,done,medium,63,16/03/2024
d3258caa625e4d22ac0d7ebb4b5f5aa6,Devices implement changes documentation issues role-based tests optimize on theme for recent payment access Implement API system support API gateway,bug,todo,low,52,01/08/2023
4db8731299a34820ac95fc90aac8b058,Module SQL gateway documentation endpoints fix tests switching reporting to queries role-based database recent implement optimize,documentation,done,medium,88,12/07/2024
708fc54f92c7441d9daebef666918350,For system API endpoints mobile payment unit reflect migration fix to to,documentation,done,low,95,09/09/2024
828f4ef33f5f4d3f8a4c91854aeb1f79,User on migration authentication access authentication module for access queries control implement control optimize add,bug,in-progress,high,89,11/09/2023
7c89ad021d864786a079355150f02272,System to components payment switching fix refactor reporting implement gateway migration devices control recent switching queries components API unit recent control control role-based control system to,feature,in-progress,high,66,21/12/2023
f68c036dc68b4fdfaebba682b70b09df,Frontend reporting optimize for changes project switching optimize role-based unit to recent add changes endpoints migration reflect implement documentation refactor module user fix SQL database implement,documentation,done,low,30,20/02/2024
a4e6f5b8bc8f455a88debfbeaf73b20e,Migration implement documentation system mobile user devices access on implement,bug,todo,medium,11,24/03/2025
6af2150658cc4b358cbb1658f11dc990,Issues migration for implement unit issues components frontend layout frontend optimize queries endpoints reflect reporting system changes frontend Implement on,enhancement,in-progress,low,63,23/02/2023
1ef9bf99c3a64cc3afe719a0d9e50aae,SQL module queries for Implement reporting layout optimize to reporting user support devices reflect tests control changes project issues,feature,todo,medium,38,19/11/2023
7ed1cd35859f4355b160c6ebba2cdd5b,Project theme project to for update to project optimize components module devices mobile access changes migration on system system mobile module,bug,canceled,medium,92,16/04/2023
9b4e5e2ad0f34f11be80163242eb7df9,Optimize role-based database implement changes for for database frontend refactor,bug,canceled,low,6,07/10/2023
816b39fca72646daa49543369c2bd365,Refactor payment support tests tests database tests API project project issues layout on documentation,enhancement,canceled,high,67,21/07/2025
4d9c63993be444478e95750a4bb55b03,For devices theme Implement authentication gateway changes issues Implement system authentication gateway SQL add gateway payment components for project switching documentation tests endpoints to refactor gateway,enhancement,canceled,medium,100,02/06/2025
84dd4217de854a9e8c87dcfbfa85e22d,Optimize Implement module authentication optimize SQL unit update add project frontend database payment tests control API update mobile queries,documentation,done,low,47,25/10/2023
bd884102375e410ab24ceac02d238447,Tests payment documentation authentication to issues switching mobile tests reporting mobile to,documentation,in-progress,low,39,12/02/2025
f206c8ee301a4ba9866e186bb068d7ed,Support mobile migration API layout for fix on gateway authentication devices implement devices for changes mobile update reporting user switching changes theme support for,enhancement,done,medium,6,11/05/2023
a43bbfa93c8d42d283f5ee8b7f1b878e,Mobile migration migration mobile support payment devices frontend SQL unit changes SQL on unit reflect support control changes to to layout support to tests gateway changes to access to theme,bug,todo,high,29,19/03/2023
b1da106514ed4bb0acb32b7c3eb4df5e,For module database update endpoints access system reporting access endpoints reflect reflect issues unit to recent for,enhancement,canceled,medium,3,12/11/2024
cdc9dcc7a58f4c8ca000c9fd4263f772,To access database payment switching changes mobile implement unit reflect support documentation support project layout project API database implement,enhancement,done,low,66,12/11/2024
1cf6615d02fc46289ffe34d290b41110,Implement migration Implement issues queries documentation frontend unit project tests recent update fix,enhancement,in-progress,medium,68,21/07/2024
70a86c67c90b45a7bcaefe7924ae3a76,Authentication support devices add components components for API unit access switching support role-based for changes authentication control mobile fix migration fix reporting documentation access on for,documentation,todo,low,25,03/02/2023
bff4c697b6be4531a8ede3f61bfbe55c,Reporting on migration for for tests payment gateway reporting support switching API system endpoints to queries unit support authentication payment database authentication project access access switching tests theme documentation,feature,in-progress,medium,20,30/08/2024
8da2823bc9714bd3bc7769447801b408,Access devices frontend database optimize components access theme user reporting to role-based migration reflect reporting add integrate layout module migration frontend for frontend changes add API on,enhancement,in-progress,low,44,21/07/2025
d0f6bb0b98fb4a65acde47398ea425a9,API endpoints reporting changes queries theme endpoints gateway frontend on API reporting components frontend user for mobile queries payment mobile authentication project authentication implement optimize on implement add,feature,done,high,43,14/08/2023
b2f5b9304ab54dc7a36efd94e5fd0398,Theme frontend fix switching system for reflect unit fix user module Implement queries theme for migration Implement devices,documentation,todo,low,30,02/08/2025
f3fcac46d1c24ecfaaf348eb96d66eec,User recent tests devices tests for recent for SQL switching optimize access queries database user,bug,in-progress,high,7,11/09/2024
67fbb199c02445f3b50acfe5172763d8,Endpoints add fix support control API frontend frontend devices database to,documentation,canceled,high,89,19/04/2023
54df24cfc84041569ecf91d1cc77a8e5,Mobile tests API layout implement reflect optimize switching switching changes unit optimize access endpoints database SQL devices API layout devices database for for user module mobile,feature,done,low,89,19/04/2023
6a7690fb14224e06bcf36737d0365b5f,Queries to frontend changes Implement endpoints documentation role-based Implement system fix to on gateway devices support for role-based migration components update control support for access queries to payment,bug,in-progress,low,9,14/02/2025
ede498ac142248808224a5648a456027,Reporting database module gateway optimize issues switching layout components documentation authentication tests authentication for support frontend,enhancement,in-progress,high,3,08/08/2025
0e7da2330d63432da75477be3271568c,Fix access reporting module user switching frontend endpoints tests changes gateway database optimize to payment,enhancement,in-progress,high,9,30/03/2024
e59ea882442547ce8469d73f9fa00c8b,Components changes integrate optimize recent support for to unit refactor refactor fix,bug,canceled,high,92,19/03/2025
fde7fd30744f4a2da5a2a2685df48305,Add add for update module unit changes on for update add update for system Implement role-based fix devices changes refactor access for,feature,canceled,low,96,07/02/2024
190b4b37dab94feea9790b782787b735,Role-based unit module documentation on layout for reporting queries Implement user theme authentication reflect reporting devices implement payment reflect for SQL mobile SQL add queries refactor implement,enhancement,canceled,low,34,27/05/2024
776343f6bfb84033938053e0707ec2cf,Update layout project queries for reflect layout update layout support endpoints API layout support devices switching queries devices authentication reporting tests queries on layout API support layout tests,enhancement,done,medium,13,04/05/2025
32ebaa3477f747d9bdbd7d212f2b5f2b,For role-based queries payment for queries migration issues to tests fix,documentation,canceled,medium,47,26/01/2023
b143b4a277a54b9a927fb7e936a94516,Implement devices recent reporting changes for gateway authentication reflect optimize changes user add fix endpoints,bug,todo,medium,43,13/05/2025
2c7ef591be1e430e9c38529eff363a40,For queries system optimize reporting Implement components for switching changes authentication,enhancement,todo,low,97,27/06/2024
693c69239a6845a5a45c1bc85f659c20,To integrate endpoints mobile user components devices payment optimize mobile reporting Implement access layout control fix,feature,canceled,medium,70,15/10/2023
bb83e7ab54fe46fc88df4ddb70a22bad,Endpoints changes to support user fix for update devices API components support API control add to add documentation for for refactor to for Implement on role-based,feature,todo,high,38,19/09/2024
fb2cd1f2abe14323a94e6af34d645de4,API update project frontend frontend issues endpoints integrate API authentication frontend SQL implement issues role-based SQL,feature,in-progress,high,63,16/10/2024
842d8913c1d14375acc454b2351d1ea3,Changes module integrate for components reporting user to for on,bug,todo,low,43,08/02/2023
3ffcd105596c4f96b3f9780830a4ab29,User optimize user switching optimize for SQL queries issues components for authentication for devices system Implement endpoints changes add refactor role-based reflect endpoints system update API access frontend,feature,done,low,56,30/01/2025
47efd94b030b4f74ae422271cb4986c6,Issues frontend update implement refactor optimize to tests for fix module payment queries to for gateway fix gateway migration endpoints update gateway,enhancement,in-progress,high,22,29/05/2023
c54c397878fb4691b390e6ae104617fe,For Implement recent migration endpoints to to devices to for control theme layout fix implement update switching reflect devices components layout issues documentation SQL reflect for tests for database,feature,in-progress,medium,51,06/06/2024
e9675be598504c65b08af1c7b741471c,Payment user mobile SQL Implement system theme fix control add add devices SQL frontend system,enhancement,in-progress,medium,77,22/03/2024
fde0ac7ab1404c049b1c55d40a5be3a6,Devices switching changes access documentation payment reporting database Implement components devices control system Implement layout queries system role-based endpoints SQL changes recent role-based access mobile documentation tests changes,bug,in-progress,medium,46,01/11/2023
5d6aa2706fb84509affebcd18e66015e,For refactor refactor migration queries for control payment frontend Implement implement support,enhancement,done,low,20,06/06/2024
7895a33e44324392b35392343b1e097b,To to project mobile SQL refactor gateway documentation optimize SQL for,feature,todo,medium,96,14/12/2024
8f1ce599bd214c778f668bb56a03f286,Devices refactor switching implement devices for update payment unit on,enhancement,in-progress,high,35,11/05/2025
f5747da96f364b3d8e7ba896f67fe8fc,For queries for database role-based migration components issues to fix for database authentication SQL to switching theme refactor for documentation,bug,canceled,low,65,11/10/2024
c0bd86d041784f848d2282c3b56c0260,Recent recent unit support switching Implement user role-based for implement control for system for control switching frontend documentation theme,documentation,todo,low,97,26/04/2023
3521d1ded83d4e99ad3a8ceb71ac6621,Issues reporting update devices role-based layout support role-based refactor optimize mobile frontend support role-based tests issues unit theme changes layout to mobile for support issues access changes switching,documentation,canceled,medium,58,21/04/2024
df293a17b9c3428db4d9cf6af7dcbb69,Unit tests access endpoints system access for project theme to frontend update for role-based for optimize fix project API documentation reporting components Implement components payment database refactor,enhancement,in-progress,high,41,22/09/2023
3b3e67461ed2490da85b82ffe2df33f9,System SQL for fix migration update add layout support recent endpoints payment refactor refactor integrate reflect endpoints control for to optimize,enhancement,canceled,low,5,23/07/2025
9fa8da7297ee4f9591cc80205973d1d1,Add optimize add changes update unit user endpoints for for access user module system,bug,in-progress,medium,65,25/12/2024
c6a012ce2ba64d9198bc4a02bf4522a4,To module migration for switching Implement migration recent issues to user switching Implement documentation update layout mobile on,enhancement,todo,high,99,28/08/2024
cef564791fb849af8d338df68fcb62a2,Devices recent switching refactor Implement to reporting migration to for API,bug,canceled,low,71,26/06/2024
ff0f9cbbcdc344c598547e7b4870f6fb,Components refactor queries integrate refactor optimize gateway project unit theme module add fix SQL update fix control database documentation tests update mobile reflect,enhancement,in-progress,high,2,17/01/2023
dc3fb966f6704d82a195775cd46f3076,Mobile gateway to SQL for to recent access frontend reporting control update system refactor frontend add reporting recent optimize recent,enhancement,todo,high,21,17/07/2023
c1d6c6287c004a29a63ade4f4288f131,Queries issues for issues authentication mobile to components access for optimize on,feature,done,low,46,30/06/2024
65bcbfc0481a4e5dadc5bb71ff8b375b,API to authentication to queries role-based documentation integrate for components to for to user support tests migration unit payment to documentation SQL gateway recent user endpoints,documentation,in-progress,high,47,17/01/2025
58a6c4e1ebbe43bfaf0448ec22da1df1,Theme system components refactor components on recent optimize module support for authentication to access payment reflect issues,feature,todo,medium,72,03/04/2025
1bbba53c333d41c2a54f6645bb2cfc0f,Control for to recent components endpoints system support gateway support queries to API on unit access module tests gateway theme documentation,enhancement,done,low,29,01/08/2023
03e10beb09f24fa59ad35db94e60276e,SQL fix tests for frontend issues support API theme refactor reporting endpoints for user reporting for components API user mobile unit,bug,canceled,high,20,18/07/2023
1758e1aae87d49cabbe20e1b8892a147,For update project to to devices access components optimize API documentation update SQL Implement payment module add theme fix queries,enhancement,canceled,low,77,12/01/2023
3f3c3600bac04229af030b7deb164b67,Implement access payment frontend user payment for add theme SQL layout reporting refactor reporting fix project module Implement frontend,bug,done,high,26,01/06/2025
62f01984a17c49c587615917abcc5f40,For for update module documentation changes database reporting support role-based switching for gateway implement issues,bug,canceled,low,16,03/02/2024
7671e7813d2b4863a5b3f29831467245,Recent update tests module authentication tests module for SQL authentication implement SQL integrate database module update endpoints access theme authentication devices frontend mobile components to to,documentation,canceled,low,48,25/04/2023
e64f32c55e8e40b49d4d8f1a677d6d6e,Fix system for tests switching layout issues update implement reporting,bug,todo,medium,1,28/01/2024
e46604ea24ff4bbeac9dd409de9e3b29,Add endpoints user for switching to changes project issues role-based database on mobile mobile layout,documentation,in-progress,low,31,10/03/2025
c572730a14364a78901814e14026002f,Payment payment for recent devices add role-based migration SQL issues optimize update for payment recent database issues reflect SQL switching changes layout frontend switching layout system support migration,documentation,done,low,59,01/04/2025
31e60aa45c5c46959d6e4f568b86212d,Migration changes changes system for frontend for queries authentication theme layout authentication documentation add support update project update recent optimize unit SQL control optimize module payment gateway on,enhancement,done,high,46,25/09/2023
780bf3566be54935acc267f255181747,Optimize refactor layout unit endpoints database recent add add reporting mobile support for endpoints payment fix update implement changes payment for reporting gateway layout fix endpoints module for devices,enhancement,todo,medium,4,16/08/2024
8d0cc1bc51dc4c66923a65e8a3015986,To reporting endpoints project payment migration control endpoints devices mobile changes API system to documentation on module changes recent recent,documentation,done,low,67,24/02/2024
3c0eda4ce6384b899e0a4416414e6314,Queries support unit tests mobile theme for theme frontend support access tests migration control update documentation module layout to support components on for add optimize issues,feature,canceled,low,25,15/05/2023
91021c86f8144bf0b6c1fc72bea4d3ab,Support add access issues fix update devices components add user theme access devices API system integrate components control payment switching integrate endpoints implement issues switching switching user reporting,documentation,canceled,low,12,10/10/2023
74b428d6e2634fa6b5651be1e5b1c204,Frontend integrate gateway for theme support access implement optimize module recent authentication issues database role-based components components queries mobile theme integrate to devices project issues support update,documentation,todo,medium,1,01/12/2024
8ddef6c2a90e4a7db19b10049bca7e24,Authentication fix components role-based add SQL add integrate documentation switching queries implement control changes API to theme mobile API to SQL Implement module project system Implement system layout tests,documentation,canceled,medium,31,20/11/2024
54cd9db1a81b4fddadff45182b181772,For migration unit tests frontend tests authentication layout issues Implement for Implement layout access payment issues update unit system recent,feature,in-progress,high,42,19/09/2024
7e107ff2710f47e29645cfdcab88659a,User for gateway on mobile documentation to issues system API gateway unit role-based role-based add documentation integrate module components components add,bug,todo,low,100,29/12/2023
bf4bbd3ce710421ba26c816ebb950888,Layout access frontend theme role-based for database module to add integrate control,feature,todo,high,34,26/03/2025
5be37a935eb74610b654af7c653fc7b8,Mobile control implement mobile API implement changes SQL issues role-based API theme recent API for Implement issues documentation database control Implement,bug,in-progress,low,12,26/04/2023
44e9b4598ce54ebf820e741711ad1e5f,On reflect reflect system control update reporting components optimize queries queries integrate payment to SQL theme Implement layout database,feature,in-progress,medium,85,07/07/2024
b7a7bc69b16744a787e748bb2f545d90,Module to update endpoints refactor unit gateway Implement frontend support reporting update on database endpoints to refactor support SQL for,documentation,todo,medium,57,12/07/2023
ac8f1540a03a4113b6ed344a48c2ed28,Authentication control tests to components support tests payment optimize fix integrate Implement payment access tests,bug,in-progress,high,33,08/03/2025
4b455e5966c349518e6a9e504949888f,Components add authentication update to add database to authentication migration project database integrate documentation integrate on reflect unit implement control changes queries optimize project,bug,todo,high,66,29/02/2024
971683d68a314cb390d95c28524b6194,Changes API role-based role-based implement access devices database system tests update system,feature,in-progress,low,63,19/05/2023
99aa92e49f9a401898bc16d121a3c4f0,Project layout role-based authentication on components recent changes documentation Implement layout mobile issues issues payment SQL to system,documentation,canceled,medium,5,03/04/2024
d445c3038ef34b09aa8149b0ca46e1ad,Gateway issues components database control database reporting implement devices refactor role-based switching unit switching system database fix queries documentation fix for access to reporting,enhancement,todo,low,71,30/04/2024
937016224adf45808984dd9e1fcf3598,Implement reporting reflect documentation refactor SQL module for database support on changes implement for control queries project optimize switching documentation user queries documentation database reflect access switching mobile reporting,feature,canceled,medium,77,19/11/2023
3389b6313f5f47ae9464a61575d8c5f8,Issues Implement theme frontend endpoints SQL authentication documentation migration update module to system frontend for devices system role-based frontend access documentation,feature,done,medium,70,10/09/2023
51d76687c43242c58e0f4e2490afb818,Tests unit implement control project Implement to frontend changes refactor switching SQL theme project to reporting queries for system theme SQL,documentation,in-progress,medium,10,10/02/2024
dd2dde10827d45158acfe7e9e0fb4bb2,Issues authentication integrate user queries access to issues frontend optimize tests,enhancement,in-progress,low,2,21/11/2024
dcefa0c33b514778bffc468d93ef046f,Integrate optimize refactor changes for devices unit for to database tests recent frontend fix,feature,in-progress,medium,31,13/08/2024
c6bfa0b35dd34e1086b7ac841521c236,System for issues changes devices frontend module for role-based issues layout database,feature,in-progress,high,6,21/08/2023
fadc27e3a5784e17a4d5af327a66c0b1,Endpoints optimize migration endpoints for for to reporting gateway SQL system API theme unit SQL tests documentation issues payment for,feature,todo,low,57,15/10/2023
8751ae6de617449eadac7c03a7554d97,Refactor control recent tests for for module documentation components issues on documentation module recent add layout tests endpoints database recent tests reflect API documentation module,documentation,todo,medium,32,04/04/2024
ce1c266f869340339faf5ac4aa70a8d7,Components database support Implement add endpoints payment unit theme user add switching control optimize,documentation,todo,medium,61,08/04/2025
c7f103f47f2c4b06a195193ad78037d1,Tests support frontend to for recent Implement project payment project unit to gateway optimize implement,enhancement,todo,low,90,20/06/2023
da19fa21a0074099a9d97a46da822d22,To unit to changes devices user refactor theme queries refactor layout SQL database theme integrate payment SQL to reflect project system,bug,done,high,55,19/06/2025
78180e7ec20f446884390bd10e528f7d,Payment layout gateway issues integrate authentication add unit for mobile to,documentation,in-progress,medium,79,05/05/2024
2311ee10b4eb4e4ca39dcdfb83dbda4f,Recent database Implement layout recent implement for Implement frontend API add authentication switching changes migration module fix issues user for implement changes queries changes payment devices,feature,canceled,high,40,01/12/2024
4f1b98d2028d4955b74d8fa68f51a963,Documentation module to for unit fix issues role-based role-based queries mobile payment implement switching migration authentication reflect for API devices gateway SQL for fix for,feature,todo,high,50,04/10/2024
a140e23c61864fd0a7830aa7aa162b54,Payment components tests user switching user components Implement gateway components SQL module project migration access optimize implement,documentation,in-progress,high,86,30/04/2024
e12885a768aa4d0181bd26f61cfd022c,Gateway fix system layout add reflect API add update theme endpoints support gateway devices update implement optimize documentation to API mobile Implement control Implement system,enhancement,in-progress,medium,60,07/06/2024
f1b3e91b37264c4d887d18520681d751,For queries switching documentation implement support optimize tests reporting Implement fix control payment components optimize for mobile mobile Implement switching,feature,in-progress,high,60,20/12/2024
b33b264b965f4b5387803f19fdb6c89d,Support layout implement devices unit user authentication issues add devices,bug,in-progress,high,33,06/12/2023
e163d71dc1664c6cb2c2cc4300e39ea6,Fix support fix for endpoints user on authentication fix for for reporting module,feature,done,high,12,31/05/2023
bb8674dd56b74d87955c70df6af47120,To payment Implement reflect migration switching for queries module gateway authentication unit switching unit documentation queries changes layout user unit layout for access endpoints changes,enhancement,todo,low,51,04/11/2024
3298500fa5974b0c81683ccbeebc4e98,Theme gateway migration recent access role-based endpoints to devices on for support role-based for unit gateway reflect to,bug,done,low,70,30/03/2023
0a4f076ceddf4ce3afb6862afb2c5896,Control migration fix issues changes reporting role-based theme to Implement migration support unit for system update for add implement migration to API Implement,enhancement,canceled,high,11,20/03/2025
35aae7746dd24a96bea4f325f02cd131,Mobile recent migration layout SQL API frontend endpoints for endpoints to for system payment issues for to changes mobile layout switching,bug,in-progress,high,15,19/05/2025
d2ab2e0ce8bc481b96b3cd10e1580f63,Database module recent update SQL to add documentation implement for switching optimize control system documentation mobile integrate recent project components layout fix tests devices,feature,in-progress,low,64,25/06/2024
94cf464354284897b61ecc2fb6051a5b,For role-based on unit refactor for endpoints database for SQL update queries documentation tests,bug,done,low,42,08/02/2024
ebe430a918404e969bf5d58e98416e48,Reporting endpoints API to fix queries system payment authentication fix database to changes migration reflect user endpoints to on tests switching Implement endpoints changes gateway API control fix theme refactor,bug,in-progress,medium,21,02/06/2025
21ef9c50d1b842b0a66a55ca693271ca,Support components changes SQL frontend layout refactor module switching implement,bug,canceled,low,13,06/01/2024
2b33d3d8324d49e8908a2fe9c457c9f9,Queries tests integrate for role-based access support user implement issues module module authentication for user devices,enhancement,todo,high,38,08/10/2024
08bc4591daeb494ab06fa63dc031c1fd,Implement for reporting documentation system issues frontend to switching fix optimize fix support for frontend endpoints role-based SQL update for reporting frontend theme integrate components to support integrate update Implement,bug,done,low,23,04/06/2023
ffbe69291641413b85ee84c80e5929d8,Access module tests for gateway changes components access for implement add project module queries Implement components SQL,documentation,done,medium,67,23/07/2024
41568309577549d9ae7486963c66925b,Frontend switching endpoints for reporting project reporting module system payment devices fix database to database update gateway recent mobile integrate switching recent implement,enhancement,todo,low,7,25/04/2025
3a61fa17e37049dab28d6b88948111b2,Gateway queries add update support add access frontend for support optimize refactor issues to role-based components implement user for system components on devices project,documentation,done,high,69,17/09/2023
9c14398ec1ba4399bc6368fa1b5de8cd,To access module add switching Implement payment payment database reflect Implement control reporting role-based for gateway to recent integrate API Implement issues theme fix refactor queries tests project,documentation,in-progress,high,15,07/12/2024
8a139e2922834a3e858011f1f31f8dfb,To role-based user endpoints to control API for reflect user switching database tests changes module devices reflect,documentation,todo,low,6,18/02/2023
e427db511f0149b096afb12efeb07d4e,Mobile payment optimize implement control issues recent for for migration support for theme queries,feature,done,high,44,06/06/2023
1ff946b0f14d466aa325b59dab925ae8,Theme role-based payment fix issues queries endpoints changes components gateway frontend project devices for database components recent switching mobile refactor mobile tests components SQL system fix,enhancement,todo,medium,91,17/05/2025
c15964c04c6e48c8be414713e81ee1bd,Documentation issues database database components endpoints reporting user devices for queries database for documentation documentation Implement frontend payment database module fix mobile,bug,done,low,25,11/07/2025
4e08819912754651899738f082f8c0e2,Payment to optimize changes endpoints integrate on to optimize switching mobile add documentation layout recent integrate implement frontend frontend,bug,todo,low,6,08/07/2024
6bf265896ebf4eb6863f664a76de85b2,Changes switching migration switching reflect for payment reporting endpoints migration access module reflect to devices components refactor role-based components SQL for documentation for module gateway queries,feature,canceled,high,34,27/06/2023
b82deff9a2154929948eaba8ff9126e7,Issues layout issues for frontend theme control queries components issues payment API SQL unit,documentation,todo,high,7,10/07/2023
5a9aa32b8ecb46c2a80c65e25c807985,Implement unit issues system on to tests layout migration role-based control SQL mobile issues for switching API frontend endpoints for on user endpoints endpoints,enhancement,todo,low,42,30/01/2024
1e610b2ce5e74141b9ecbedf14ae5ce5,To support components theme layout changes update add recent to integrate access for refactor queries mobile optimize,enhancement,in-progress,low,44,22/06/2025
